dealer_id,dealer_name,salesman_id,territory_risk_tier,bounce_rate_lifetime,avg_days_late_nonseasonal,payment_volatility,real_exposure_pkr,order_frequency_trend,salesman_default_rate_loo,territory_default_rate_loo,payment_delay_severity,risk_probability,credit_score,risk_flag
D0014,FM-Karachi-0014 Traders,SM008,Medium,0.0,1.4285714285714286,1.5222649416526253,467743.5868573815,0.125,0.0485033973303768,0.052106245899751005,-0.6501348559124683,0.26425741265797575,829.0,GREEN (Reliable)
D0015,FM-Multan-0015 Traders,SM006,Medium,0.05263157894736842,8.0,6.248659987068182,176983.26599429347,-0.5384615384615384,0.03869276790305116,0.051604992766918927,0.17310318142599637,0.6126922995305039,743.0,GREEN (Reliable)
D0016,Ph-Rawalpindi-0016 Traders,SM004,Low,0.08333333333333333,8.7,5.359782899266791,508841.33991219464,0.18181818181818182,0.05357010863589812,0.01655700620642942,0.11447342614214757,0.7109782265184711,718.0,GREEN (Reliable)
D0017,Ph-Lahore-0017 Traders,SM005,Low,0.0,1.7083333333333333,1.6696942198734437,428100.3444947522,-0.45454545454545453,0.025015859380840076,0.017698558717844946,-0.6207399043787394,0.3908784959971408,796.0,GREEN (Reliable)
D0018,Te-Gujranwala-0018 Traders,SM006,Medium,0.034482758620689655,2.0588235294117645,2.0612319735239044,244723.8387735755,0.07142857142857142,0.039340940057575394,0.051777838674792055,-0.5621768362938717,0.24902445302153237,834.0,GREEN (Reliable)
D0019,FM-Faisalabad-0019 Traders,SM006,Medium,0.0,1.7777777777777777,1.9976176286957894,40938.785392063204,21.0,0.04057246715117146,0.052106245899751005,-0.5828273871701386,0.30678303387837685,817.0,GREEN (Reliable)
D0020,FM-InteriorSindh-0020 Traders,SM003,High,0.041666666666666664,10.0625,7.2354528991713085,37796.19892955709,2.0,0.049483990647415696,0.06933398947949573,0.37929253982929084,0.6148118039843133,743.0,GREEN (Reliable)
D0021,Te-Rawalpindi-0021 Traders,SM005,Low,0.0,2.1538461538461537,1.4992061391346578,41997.67995352582,21.0,0.025015859380840076,0.017698558717844946,-0.6165189896591571,0.3948851827758384,795.0,GREEN (Reliable)
D0022,Ph-Lahore-0022 Traders,SM004,Low,0.02631578947368421,1.3870967741935485,1.5387877916944455,96202.28638210609,-0.5384615384615384,0.05642098582888057,0.01733806845108215,-0.6504593422036091,0.1467449566406894,872.0,GREEN (Reliable)
D0023,FM-Lahore-0023 Traders,SM006,Low,0.0,1.2352941176470589,1.88048714009375,32111.35874448775,-0.4,0.04057246715117146,0.017698558717844946,-0.622092938688256,0.18003697469191138,857.0,GREEN (Reliable)
D0024,FM-Rawalpindi-0024 Traders,SM008,Low,0.0,2.4,2.3754698783308417,114346.32308708082,0.0,0.0485033973303768,0.017698558717844946,-0.512200088941548,0.22626575527811502,841.0,GREEN (Reliable)
D0025,Te-Peshawar-0025 Traders,SM006,High,0.1,36.5,13.007476482563574,32076.483627937425,-0.3333333333333333,0.037001038579742886,0.06783826298376923,2.2995683332052694,0.9937024717724202,478.0,RED (High Risk)
D0026,Ph-Lahore-0026 Traders,SM008,Low,0.0,2.235294117647059,1.739670953500985,245728.1730077164,-0.13333333333333333,0.0485033973303768,0.017698558717844946,-0.5872011250632179,0.2407008230845653,836.0,GREEN (Reliable)
D0027,Te-InteriorPunjab-0027 Traders,SM005,Medium,0.0,9.090909090909092,6.393652154972765,37652.721534209864,0.4,0.025015859380840076,0.052106245899751005,0.24254818427454683,0.6562871440844623,733.0,GREEN (Reliable)
D0028,FM-Karachi-0028 Traders,SM008,Medium,0.3333333333333333,28.8,14.714872494434754,29743.196751632266,-0.5,0.0384023872293667,0.048931642725147835,2.09638476777934,0.9897181173906712,506.0,RED (High Risk)
D0029,Te-InteriorSindh-0029 Traders,SM001,High,0.0,1.2307692307692308,1.6433517087676872,302812.97695184697,0.0,0.0706134128183214,0.0704023655478718,-0.6472385821625748,0.13576388827894198,877.0,GREEN (Reliable)
D0030,Ph-InteriorSindh-0030 Traders,SM001,High,0.1,30.0,14.741453711094435,302901.48627686553,20.0,0.06644674615165473,0.06783826298376923,2.158806608024497,0.9957513188600644,455.0,RED (High Risk)
D0031,FM-Rawalpindi-0031 Traders,SM002,Low,0.08333333333333333,8.666666666666666,5.567569981404409,184544.66542871608,-0.4,0.03508144469909176,0.01655700620642942,0.1346536347820219,0.6515054023451327,734.0,GREEN (Reliable)
D0032,FM-Islamabad-0032 Traders,SM001,Low,0.0,1.95,1.8239152027072603,357247.57944977714,-0.3333333333333333,0.0706134128183214,0.017698558717844946,-0.5925241706677954,0.20488932658412198,848.0,GREEN (Reliable)
D0033,FM-InteriorPunjab-0033 Traders,SM003,Medium,0.0,1.8888888888888888,1.7827331970381497,27001.37667744042,-0.14285714285714285,0.05087287953630459,0.052106245899751005,-0.599888660107019,0.13789105668702736,876.0,GREEN (Reliable)
D0034,Ph-InteriorPunjab-0034 Traders,SM003,Medium,0.2,22.125,14.691469828246788,43887.258172794056,10.0,0.04420621286963792,0.050201483994989096,1.7622424191507693,0.9841361537433977,532.0,RED (High Risk)
D0035,Ph-Karachi-0035 Traders,SM006,Medium,0.0625,21.333333333333332,14.332779612781724,438634.1942684621,16.0,0.0383403242940286,0.05151100780451291,1.685209128304467,0.9939134524198203,476.0,RED (High Risk)
D0036,Te-Multan-0036 Traders,SM005,Medium,0.034482758620689655,1.565217391304348,2.2167591578746584,119555.98410158012,-0.6818181818181818,0.023903512328559768,0.051777838674792055,-0.5703597793456912,0.2473803737373745,834.0,GREEN (Reliable)
D0037,FM-Multan-0037 Traders,SM001,Medium,0.29411764705882354,30.8,16.63762621471603,25670.905022253908,0.42857142857142855,0.05835851085753708,0.04930512545157174,2.397829540931321,0.9928788489831099,485.0,RED (High Risk)
D0038,Te-Gujranwala-0038 Traders,SM008,Medium,0.16129032258064516,27.333333333333332,14.455502013473572,304132.05837416934,-0.2777777777777778,0.04361581179762997,0.050570147589459144,1.9962481161093257,0.9921620857872627,491.0,RED (High Risk)
D0039,Ph-InteriorSindh-0039 Traders,SM003,High,0.25806451612903225,32.6875,13.71419160517306,179111.48353049098,-0.6521739130434783,0.042270728998670175,0.0637853266727684,2.1843933591345883,0.9929008908128378,485.0,RED (High Risk)
D0040,FM-Lahore-0040 Traders,SM006,Low,0.0,1.8181818181818181,1.7000000000000002,561730.4717677601,0.7777777777777778,0.04057246715117146,0.017698558717844946,-0.6120966323086421,0.4008410233993067,793.0,GREEN (Reliable)
D0041,Te-Karachi-0041 Traders,SM003,Medium,0.03125,1.9,1.3536092732085316,121191.01949834987,-0.2222222222222222,0.04983121286963792,0.05180862685213196,-0.6444336089849734,0.14890131021801734,871.0,GREEN (Reliable)
D0042,FM-Multan-0042 Traders,SM002,Medium,0.0,2.2666666666666666,2.1143765594836976,278285.70218752103,0.42857142857142855,0.038414778032425094,0.052106245899751005,-0.5462640247940159,0.27689127851245654,825.0,GREEN (Reliable)
D0043,Te-Peshawar-0043 Traders,SM008,High,0.05714285714285714,9.708333333333334,5.828190373546752,31506.48209498523,0.3333333333333333,0.04677179559877507,0.06893716408267034,0.21380325149978072,0.5141402497078265,767.0,GREEN (Reliable)
D0044,Te-InteriorPunjab-0044 Traders,SM001,Medium,0.0,2.5384615384615383,2.2954805094425805,44511.63371695909,13.0,0.0706134128183214,0.052106245899751005,-0.5137260527072369,0.18396579188730844,856.0,GREEN (Reliable)
D0045,Ph-Lahore-0045 Traders,SM008,Low,0.0,1.4615384615384615,1.8104634152000358,27045.424464080446,0.4666666666666667,0.0485033973303768,0.017698558717844946,-0.6182096465406639,0.16350085306388454,864.0,GREEN (Reliable)
D0046,Te-Faisalabad-0046 Traders,SM002,Medium,0.12121212121212122,9.55,7.25384219575979,226183.7388185209,-0.16666666666666666,0.03356629318394024,0.05095184474534985,0.35575879638867636,0.7443347344924186,708.0,GREEN (Reliable)
D0047,Ph-Faisalabad-0047 Traders,SM005,Medium,0.0,1.4166666666666667,1.3407911089057825,161631.52910126702,-0.07142857142857142,0.025015859380840076,0.052106245899751005,-0.6697976745651262,0.22286996779009857,842.0,GREEN (Reliable)
D0048,Ph-Karachi-0048 Traders,SM008,Medium,0.0,1.9,1.1435437497937313,31816.124738298327,-0.5555555555555556,0.0485033973303768,0.052106245899751005,-0.6665096055687765,0.12459914016515342,882.0,GREEN (Reliable)
D0049,FM-Lahore-0049 Traders,SM003,Low,0.07142857142857142,9.3,5.402990624858393,84959.22778990422,14.0,0.04849192715535221,0.01672008513663164,0.148828366129251,0.6758794910514275,728.0,GREEN (Reliable)
D0050,FM-Peshawar-0050 Traders,SM006,High,0.0,1.894736842105263,1.6594044679962139,77631.93255873206,1.0,0.04057246715117146,0.0704023655478718,-0.6125588132467192,0.16449152910975737,864.0,GREEN (Reliable)
D0051,Te-InteriorPunjab-0051 Traders,SM006,Medium,0.03333333333333333,10.333333333333334,4.80993430103734,103974.86422259799,-0.23529411764705882,0.039381990960695265,0.051788785582290685,0.13785015433079287,0.5587368815111258,756.0,GREEN (Reliable)
D0052,Ph-Karachi-0052 Traders,SM007,Medium,0.07142857142857142,27.636363636363637,13.473145179416758,416567.92546821584,14.0,0.028060390822995867,0.05142597379090747,1.9080689260944217,0.9966184968858763,442.0,RED (High Risk)
D0053,Te-Lahore-0053 Traders,SM008,Low,0.0,10.642857142857142,5.10817057207437,443908.754995848,14.0,0.0485033973303768,0.017698558717844946,0.1845724428298396,0.8247178941307777,681.0,AMBER (Moderate)
D0054,FM-Islamabad-0054 Traders,SM005,Low,0.0,2.0714285714285716,1.8750438591361565,411841.93566310307,4.666666666666667,0.025015859380840076,0.017698558717844946,-0.5811171833388526,0.4503077157428372,781.0,GREEN (Reliable)
D0055,Te-InteriorSindh-0055 Traders,SM002,High,0.11764705882352941,9.6,4.389381125701739,113049.05672516809,-0.45454545454545453,0.033708895679483916,0.06738577429598643,0.05721422543644142,0.5132593164250393,767.0,GREEN (Reliable)
D0056,Ph-InteriorSindh-0056 Traders,SM006,High,0.0625,1.3636363636363635,1.2344267996967353,342375.3823854336,0.2857142857142857,0.0383403242940286,0.0687998014453077,-0.6836106996677619,0.22016852879892004,843.0,GREEN (Reliable)
D0057,Te-Islamabad-0057 Traders,SM008,Low,0.2857142857142857,26.083333333333332,14.89327109165491,37347.101352015125,0.625,0.03984538867236814,0.01378466439299172,1.980140797767303,0.9892623321386746,509.0,RED (High Risk)
D0058,FM-Karachi-0058 Traders,SM002,Medium,0.0,26.2,13.26698546112893,169916.22242070443,-0.17647058823529413,0.038414778032425094,0.052106245899751005,1.815030014365523,0.9866369951193419,522.0,RED (High Risk)
D0059,Te-Rawalpindi-0059 Traders,SM001,Low,0.0,2.5454545454545454,1.9752253419585197,41860.99151545732,12.0,0.0706134128183214,0.017698558717844946,-0.547034504712768,0.19293376353603853,853.0,GREEN (Reliable)
D0060,FM-Lahore-0060 Traders,SM006,Low,0.0,10.538461538461538,4.73990154609425,45557.39856805922,-0.2222222222222222,0.04057246715117146,0.017698558717844946,0.14068322964158514,0.5727218542485769,753.0,GREEN (Reliable)
D0061,Te-Karachi-0061 Traders,SM005,Medium,0.0,1.8666666666666667,1.7226756328550041,168903.7264529956,-0.05,0.025015859380840076,0.052106245899751005,-0.6073043992836864,0.25193060547359536,833.0,GREEN (Reliable)
D0062,FM-Lahore-0062 Traders,SM003,Low,0.0,1.6666666666666667,1.69085018821135,65278.11762483594,0.16666666666666666,0.05087287953630459,0.017698558717844946,-0.6205870327740091,0.16564649755779293,863.0,GREEN (Reliable)
D0063,FM-Karachi-0063 Traders,SM004,Medium,0.0,1.4545454545454546,1.713446070320696,308123.8791176758,-0.7,0.05773677530256478,0.052106245899751005,-0.6287527814481346,0.1838650798353159,856.0,GREEN (Reliable)
D0064,FM-Gujranwala-0064 Traders,SM002,Medium,0.1111111111111111,9.142857142857142,4.882549100038393,288289.3549641721,7.0,0.03397033358798065,0.05104804484154995,0.08632616409875882,0.6937030428229117,723.0,GREEN (Reliable)
D0065,Te-Karachi-0065 Traders,SM006,Medium,0.0,2.5,1.855921454276674,643806.1947667866,9.0,0.04057246715117146,0.052106245899751005,-0.5618309212192132,0.49894423657044246,770.0,GREEN (Reliable)
D0066,Ph-Islamabad-0066 Traders,SM001,Low,0.125,8.909090909090908,7.399138649008596,35545.45700945386,-0.4,0.06540507948498807,0.01598622995072166,0.33918116351192407,0.5585081677430759,756.0,GREEN (Reliable)
D0067,FM-Lahore-0067 Traders,SM006,Low,0.0,1.3448275862068966,2.033805211017918,36504.49779976815,0.26666666666666666,0.04057246715117146,0.017698558717844946,-0.6005378348406117,0.19259405100851368,853.0,GREEN (Reliable)
D0068,Ph-Rawalpindi-0068 Traders,SM003,Low,0.0,1.3333333333333333,1.2485285456935955,570031.7333599847,0.5714285714285714,0.05087287953630459,0.017698558717844946,-0.683634500547889,0.32087327848181535,813.0,GREEN (Reliable)
D0069,FM-InteriorPunjab-0069 Traders,SM002,Medium,0.06666666666666667,31.76923076923077,14.29612258198428,25214.731104168608,-0.3333333333333333,0.03574811136575842,0.05147132526483037,2.199919970045235,0.992860423293389,485.0,RED (High Risk)
D0070,Te-Karachi-0070 Traders,SM003,Medium,0.21212121212121213,28.41176470588235,15.47648340100355,230718.82616729272,-0.5652173913043478,0.04380217246559751,0.050086043879548986,2.157131682883511,0.9935742899366005,479.0,RED (High Risk)
D0071,FM-InteriorPunjab-0071 Traders,SM005,Medium,0.05555555555555555,11.916666666666666,8.544434032817882,208655.35892603433,-0.6153846153846154,0.023223744685499575,0.05157714537065047,0.6089888299860906,0.8603645791911392,665.0,AMBER (Moderate)
D0072,Te-Lahore-0072 Traders,SM006,Low,0.05555555555555555,2.48,1.8473375358822495,372255.48995888734,0.7692307692307693,0.038588340167044474,0.016937523710234596,-0.5637268203729671,0.34440047675053553,807.0,GREEN (Reliable)
D0073,FM-Karachi-0073 Traders,SM003,Medium,0.1,33.857142857142854,13.169830843425606,308123.8791176758,0.0,0.04753954620297125,0.05115386494737006,2.185305877742292,0.9947543759725095,467.0,RED (High Risk)
D0074,FM-Islamabad-0074 Traders,SM008,Low,0.0,2.090909090909091,1.5782614139961386,37003.729573839875,0.75,0.0485033973303768,0.017698558717844946,-0.611338354815895,0.16987598099065682,861.0,GREEN (Reliable)
D0075,Te-InteriorPunjab-0075 Traders,SM004,Medium,0.0,1.5625,1.8128843613430887,100804.13971660784,0.1111111111111111,0.05773677530256478,0.052106245899751005,-0.6129384149269883,0.1376632898977035,876.0,GREEN (Reliable)
D0076,Te-Karachi-0076 Traders,SM007,Medium,0.0,1.3333333333333333,2.0579830217101063,344663.75665776886,-0.2,0.031461751367213554,0.052106245899751005,-0.5985681176555427,0.30059081125657366,819.0,GREEN (Reliable)
D0077,FM-Multan-0077 Traders,SM008,Medium,0.0,12.105263157894736,5.780914489249587,54385.54007489618,-0.35714285714285715,0.0485033973303768,0.052106245899751005,0.3279392104122803,0.602935870964464,746.0,GREEN (Reliable)
D0078,Ph-Rawalpindi-0078 Traders,SM007,Low,0.0,1.0625,1.5949481650269413,200650.42167993326,-0.5384615384615384,0.031461751367213554,0.017698558717844946,-0.6606867123887139,0.24805758743818263,834.0,GREEN (Reliable)
D0079,FM-InteriorPunjab-0079 Traders,SM008,Medium,0.0,1.8,1.970368732287556,407227.23412567214,0.0,0.0485033973303768,0.052106245899751005,-0.5845867715188744,0.26980033985856916,827.0,GREEN (Reliable)
D0080,Ph-Rawalpindi-0080 Traders,SM008,Low,0.05555555555555555,37.642857142857146,15.568161325565185,121454.69232701804,-0.36363636363636365,0.046819895646875116,0.016937523710234596,2.6254622183292136,0.997745758211257,418.0,RED (High Risk)
D0081,Ph-Peshawar-0081 Traders,SM003,High,0.0,1.5,2.1054093516491506,217333.61514186615,-0.1,0.05087287953630459,0.0704023655478718,-0.585302315743913,0.18020829604598773,857.0,GREEN (Reliable)
D0082,Te-Islamabad-0082 Traders,SM003,Low,0.0,1.3333333333333333,0.9962049198956218,293664.47334475187,12.0,0.05087287953630459,0.017698558717844946,-0.7101514435025387,0.27933759475123515,825.0,GREEN (Reliable)
D0083,Ph-Gujranwala-0083 Traders,SM007,Medium,0.2,34.0,15.500597360054176,187985.4772592712,-0.15789473684210525,0.021937941843404026,0.050201483994989096,2.4373470873696856,0.9976026655013852,422.0,RED (High Risk)
D0084,FM-Lahore-0084 Traders,SM003,Low,0.0625,1.6153846153846154,1.5675276256394517,361739.9594496362,-0.6666666666666666,0.048789546202971254,0.016842394334283303,-0.6360953465316097,0.25444220918887517,832.0,GREEN (Reliable)
D0085,Te-Faisalabad-0085 Traders,SM002,Medium,0.0,1.9583333333333333,1.7525491637693282,362724.0146673937,-0.47368421052631576,0.038414778032425094,0.052106245899751005,-0.5996100132248141,0.27900197016594636,825.0,GREEN (Reliable)
D0086,FM-InteriorSindh-0086 Traders,SM002,High,0.0625,28.916666666666668,13.442292888314777,47788.54636975781,-0.5454545454545454,0.03591477803242509,0.0687998014453077,1.9684453053041202,0.9871576103357982,519.0,RED (High Risk)
D0087,Te-Faisalabad-0087 Traders,SM007,Medium,0.0,2.347826086956522,2.1530136971918146,408055.4330255124,5.25,0.031461751367213554,0.052106245899751005,-0.5381707710240855,0.40554518107205045,792.0,GREEN (Reliable)
D0088,Te-Karachi-0088 Traders,SM007,Medium,0.0625,9.304347826086957,5.124204451850825,24712.89608716608,-0.2222222222222222,0.028485560891023075,0.05151100780451291,0.1197464924463888,0.5572120334001868,757.0,GREEN (Reliable)
D0089,FM-InteriorPunjab-0089 Traders,SM002,Medium,0.0,1.2,1.0787197799411876,43815.78077421306,11.0,0.038414778032425094,0.052106245899751005,-0.7081052511431354,0.1945231937658745,852.0,GREEN (Reliable)
D0090,FM-Karachi-0090 Traders,SM001,Medium,0.02702702702702703,1.103448275862069,1.5306394555404426,531157.8541578803,-0.05263157894736842,0.06948728669219527,0.05184884564235075,-0.665410245924275,0.20814890581340695,847.0,GREEN (Reliable)
D0091,Te-Karachi-0091 Traders,SM004,Medium,0.0,2.217391304347826,1.5737428845483836,29727.040797932736,-0.3333333333333333,0.05773677530256478,0.052106245899751005,-0.6055282689446975,0.12193040287811022,884.0,GREEN (Reliable)
D0092,FM-Faisalabad-0092 Traders,SM008,Medium,0.0,1.5454545454545454,1.6563785025137654,173272.47446637752,-0.375,0.0485033973303768,0.052106245899751005,-0.6302327668570489,0.17099767417191283,861.0,GREEN (Reliable)
D0093,Te-Rawalpindi-0093 Traders,SM003,Low,0.0,1.25,1.127493605332358,296711.7475687848,18.0,0.05087287953630459,0.017698558717844946,-0.7004950445083806,0.3310335325964828,811.0,GREEN (Reliable)
D0094,Ph-Islamabad-0094 Traders,SM005,Low,0.0,1.4482758620689655,1.5387877916944455,56739.91762987315,-0.3181818181818182,0.025015859380840076,0.017698558717844946,-0.6474193332643498,0.22512594802107855,841.0,GREEN (Reliable)
D0095,Ph-Gujranwala-0095 Traders,SM005,Medium,0.23076923076923078,34.0,16.953858951086428,294697.357871263,-0.14285714285714285,0.01757169064634876,0.04990844370194881,2.590071805816938,0.9987328652776749,385.0,RED (High Risk)
D0096,FM-Lahore-0096 Traders,SM001,Low,0.0,2.3214285714285716,1.891203014315154,126231.51653460081,-0.5217391304347826,0.0706134128183214,0.017698558717844946,-0.5669964195273551,0.1467025856490253,872.0,GREEN (Reliable)
D0097,FM-Islamabad-0097 Traders,SM001,Low,0.0,2.25,2.574643252722186,159884.65543155992,-0.2857142857142857,0.0706134128183214,0.017698558717844946,-0.49872230841529264,0.17848868896099954,858.0,GREEN (Reliable)
D0098,Te-Islamabad-0098 Traders,SM003,Low,0.0,12.0,3.642695536169715,101023.45722685373,-0.375,0.05087287953630459,0.017698558717844946,0.09800107483428813,0.5268875381367335,764.0,GREEN (Reliable)
D0099,FM-Karachi-0099 Traders,SM006,Medium,0.0,33.42857142857143,10.039208847599213,277832.4695436331,0.6666666666666666,0.04057246715117146,0.052106245899751005,1.8350098168748061,0.989568532488429,507.0,RED (High Risk)
D0100,Ph-Lahore-0100 Traders,SM005,Low,0.0,9.157894736842104,5.683332169622374,365891.01647521165,-0.25,0.025015859380840076,0.017698558717844946,0.1712284831668094,0.7832310545725695,696.0,AMBER (Moderate)
D0101,Ph-InteriorPunjab-0101 Traders,SM002,Medium,0.0,1.9090909090909092,1.5985190514644287,310307.9479237749,-0.3333333333333333,0.038414778032425094,0.052106245899751005,-0.6182440644518046,0.25133029153151953,833.0,GREEN (Reliable)
D0102,Te-Karachi-0102 Traders,SM006,Medium,0.0,2.0,1.8973665961010278,31643.72725413453,0.0,0.04057246715117146,0.052106245899751005,-0.5823205736562382,0.16974447126938086,862.0,GREEN (Reliable)
D0103,Te-Faisalabad-0103 Traders,SM004,Medium,0.11538461538461539,31.6875,14.96861010707238,81433.91250302734,3.2,0.051967544533334006,0.05100734480084991,2.2665311299401125,0.9933998605518666,481.0,RED (High Risk)
D0104,Te-Karachi-0104 Traders,SM004,Medium,0.2857142857142857,25.4,13.24009063413087,220785.16234659168,-0.25,0.04345106101685049,0.049385157464376855,1.7724513476690817,0.9840335459462491,532.0,RED (High Risk)
D0105,FM-Peshawar-0105 Traders,SM004,High,0.02631578947368421,2.064516129032258,1.674755147717064,262491.7977021897,-0.48,0.05642098582888057,0.06972760171521324,-0.6025092064718762,0.1697333337321632,862.0,GREEN (Reliable)
D0106,FM-Lahore-0106 Traders,SM004,Low,0.0,1.3529411764705883,1.4342743312012722,627573.8010005387,21.0,0.05773677530256478,0.017698558717844946,-0.663139969461619,0.5048931742631171,769.0,GREEN (Reliable)
D0107,Ph-Karachi-0107 Traders,SM002,Medium,0.07142857142857142,9.416666666666666,3.9903730305670577,88589.00969810043,14.0,0.03555763517528224,0.05142597379090747,0.006172170997387691,0.6153543986709165,743.0,GREEN (Reliable)
D0108,Ph-Lahore-0108 Traders,SM007,Low,0.03125,2.217391304347826,1.827507851210648,198374.02978973888,-0.11764705882352941,0.029973656129118315,0.017270476526064123,-0.5788598540327322,0.29128347148876027,821.0,GREEN (Reliable)
D0109,Ph-InteriorSindh-0109 Traders,SM003,High,0.0,8.928571428571429,6.263808275933025,39668.79372728553,2.25,0.05087287953630459,0.0704023655478718,0.22083614909514074,0.523691228769844,764.0,GREEN (Reliable)
D0110,FM-Islamabad-0110 Traders,SM004,Low,0.0,2.45,1.823001188516709,250508.67123604353,-0.07692307692307693,0.05773677530256478,0.017698558717844946,-0.5677750613687574,0.22051715889396706,843.0,GREEN (Reliable)
D0111,Ph-Gujranwala-0111 Traders,SM006,Medium,0.03125,1.68,1.5394455083302816,237389.90516957978,-0.3157894736842105,0.03945639572260003,0.05180862685213196,-0.6358357647591798,0.21333749403599575,845.0,GREEN (Reliable)
D0112,FM-Karachi-0112 Traders,SM003,Medium,0.0,1.1818181818181819,1.6620770138594663,211738.87104460178,-0.4,0.05087287953630459,0.052106245899751005,-0.6477031147412211,0.16969933535421847,862.0,GREEN (Reliable)
D0113,Ph-Lahore-0113 Traders,SM008,Low,0.1,33.857142857142854,10.333333333333332,83494.84876102595,8.0,0.04547309430007376,0.016328695704146315,1.887215508961905,0.9901624784267451,504.0,RED (High Risk)
D0114,Te-InteriorSindh-0114 Traders,SM008,High,0.09090909090909091,10.307692307692308,4.807888255116191,159884.65543155992,-0.3076923076923077,0.04574857639373768,0.06807136321686946,0.13636102233976147,0.5296765106732143,763.0,GREEN (Reliable)
D0115,Te-Karachi-0115 Traders,SM008,Medium,0.0,1.2307692307692308,1.6605279103876789,26680.544075232527,-0.45454545454545453,0.0485033973303768,0.052106245899751005,-0.6454335179039485,0.12931351911976577,880.0,GREEN (Reliable)
D0116,Ph-Faisalabad-0116 Traders,SM008,Medium,0.0,2.3636363636363638,2.134231724753677,172804.66451607973,14.0,0.0485033973303768,0.052106245899751005,-0.5393589695158709,0.2992058440408671,819.0,GREEN (Reliable)
D0117,Ph-Faisalabad-0117 Traders,SM004,Medium,0.0,1.4,1.3789543689024493,26050.27005336617,0.4,0.05773677530256478,0.052106245899751005,-0.6666152314206772,0.10934744596616831,891.0,GREEN (Reliable)
D0118,Ph-Karachi-0118 Traders,SM002,Medium,0.0,1.4814814814814814,1.953047346941169,236231.9112462332,0.5384615384615384,0.038414778032425094,0.052106245899751005,-0.6022343829193264,0.2369342686542976,837.0,GREEN (Reliable)
D0119,FM-Peshawar-0119 Traders,SM006,High,0.16666666666666666,31.666666666666668,13.736291868103061,119361.26811602627,0.25,0.034620086198790506,0.06612886127436753,2.1359903548361356,0.9926341025838683,487.0,RED (High Risk)
