dealer_id,dealer_name,city,salesman_id,is_salesman_favorite,credit_score,risk_flag,true_risk_profile,is_high_risk
D0165,Te-InteriorPunjab-0165 Traders,Interior Punjab,SM001,False,644.0,AMBER (Moderate),Moderate,0
D0053,Te-Lahore-0053 Traders,Lahore,SM008,True,648.0,AMBER (Moderate),Moderate,1
D0003,FM-Karachi-0003 Traders,Karachi,SM001,True,695.0,AMBER (Moderate),Moderate,1
D0155,Te-Gujranwala-0155 Traders,Gujranwala,SM008,False,698.0,AMBER (Moderate),Moderate,1
D0071,FM-InteriorPunjab-0071 Traders,Interior Punjab,SM005,False,702.0,GREEN (Reliable),Moderate,0
D0016,Ph-Rawalpindi-0016 Traders,Rawalpindi,SM004,False,702.0,GREEN (Reliable),Moderate,0
D0010,Te-InteriorPunjab-0010 Traders,Interior Punjab,SM006,False,708.0,GREEN (Reliable),Moderate,1
D0011,Ph-Faisalabad-0011 Traders,Faisalabad,SM006,False,709.0,GREEN (Reliable),Moderate,0
D0049,FM-Lahore-0049 Traders,Lahore,SM003,False,710.0,GREEN (Reliable),Moderate,1
D0145,Ph-Lahore-0145 Traders,Lahore,SM005,False,713.0,GREEN (Reliable),Moderate,1
D0100,Ph-Lahore-0100 Traders,Lahore,SM005,True,714.0,GREEN (Reliable),Moderate,1
D0160,Te-Rawalpindi-0160 Traders,Rawalpindi,SM005,False,721.0,GREEN (Reliable),Reliable,1
D0206,FM-Faisalabad-0206 Traders,Faisalabad,SM003,False,721.0,GREEN (Reliable),Moderate,0
D0170,Ph-Multan-0170 Traders,Multan,SM004,False,723.0,GREEN (Reliable),Moderate,0
D0106,FM-Lahore-0106 Traders,Lahore,SM004,False,723.0,GREEN (Reliable),Reliable,0
D0064,FM-Gujranwala-0064 Traders,Gujranwala,SM002,False,724.0,GREEN (Reliable),Moderate,1
D0012,Te-Faisalabad-0012 Traders,Faisalabad,SM006,False,729.0,GREEN (Reliable),Moderate,1
D0046,Te-Faisalabad-0046 Traders,Faisalabad,SM002,False,733.0,GREEN (Reliable),Moderate,1
D0107,Ph-Karachi-0107 Traders,Karachi,SM002,False,734.0,GREEN (Reliable),Moderate,0
D0199,Ph-InteriorSindh-0199 Traders,Interior Sindh,SM001,False,734.0,GREEN (Reliable),Moderate,0
D0098,Te-Islamabad-0098 Traders,Islamabad,SM003,False,741.0,GREEN (Reliable),Moderate,1
D0139,Te-Rawalpindi-0139 Traders,Rawalpindi,SM008,True,742.0,GREEN (Reliable),Moderate,0
D0166,Te-Islamabad-0166 Traders,Islamabad,SM002,False,742.0,GREEN (Reliable),Moderate,1
D0190,Te-Rawalpindi-0190 Traders,Rawalpindi,SM002,False,742.0,GREEN (Reliable),Moderate,1
D0121,Ph-InteriorPunjab-0121 Traders,Interior Punjab,SM002,True,742.0,GREEN (Reliable),Moderate,0
D0077,FM-Multan-0077 Traders,Multan,SM008,False,744.0,GREEN (Reliable),Moderate,1
D0130,FM-Karachi-0130 Traders,Karachi,SM008,False,746.0,GREEN (Reliable),Moderate,1
D0122,FM-Peshawar-0122 Traders,Peshawar,SM003,True,747.0,GREEN (Reliable),Moderate,1
D0031,FM-Rawalpindi-0031 Traders,Rawalpindi,SM002,False,747.0,GREEN (Reliable),Moderate,1
D0179,FM-Rawalpindi-0179 Traders,Rawalpindi,SM007,False,751.0,GREEN (Reliable),Moderate,0
D0066,Ph-Islamabad-0066 Traders,Islamabad,SM001,False,752.0,GREEN (Reliable),Moderate,0
D0060,FM-Lahore-0060 Traders,Lahore,SM006,True,753.0,GREEN (Reliable),Moderate,1
D0020,FM-InteriorSindh-0020 Traders,Interior Sindh,SM003,False,755.0,GREEN (Reliable),Moderate,0
D0156,FM-Karachi-0156 Traders,Karachi,SM004,False,755.0,GREEN (Reliable),Moderate,1
D0065,Te-Karachi-0065 Traders,Karachi,SM006,False,759.0,GREEN (Reliable),Reliable,1
D0146,Ph-Rawalpindi-0146 Traders,Rawalpindi,SM003,False,760.0,GREEN (Reliable),Reliable,1
D0114,Te-InteriorSindh-0114 Traders,Interior Sindh,SM008,True,762.0,GREEN (Reliable),Moderate,1
D0051,Te-InteriorPunjab-0051 Traders,Interior Punjab,SM006,False,762.0,GREEN (Reliable),Moderate,1
D0204,Te-InteriorPunjab-0204 Traders,Interior Punjab,SM002,False,763.0,GREEN (Reliable),Moderate,0
D0015,FM-Multan-0015 Traders,Multan,SM006,False,764.0,GREEN (Reliable),Moderate,1
D0183,Te-Peshawar-0183 Traders,Peshawar,SM001,True,766.0,GREEN (Reliable),Moderate,0
D0027,Te-InteriorPunjab-0027 Traders,Interior Punjab,SM005,False,767.0,GREEN (Reliable),Moderate,0
D0198,Ph-InteriorSindh-0198 Traders,Interior Sindh,SM007,False,769.0,GREEN (Reliable),Moderate,1
D0203,FM-InteriorSindh-0203 Traders,Interior Sindh,SM003,False,771.0,GREEN (Reliable),Moderate,0
D0109,Ph-InteriorSindh-0109 Traders,Interior Sindh,SM003,False,773.0,GREEN (Reliable),Moderate,1
D0043,Te-Peshawar-0043 Traders,Peshawar,SM008,False,776.0,GREEN (Reliable),Moderate,0
D0088,Te-Karachi-0088 Traders,Karachi,SM007,True,780.0,GREEN (Reliable),Moderate,1
D0151,Te-InteriorSindh-0151 Traders,Interior Sindh,SM003,False,781.0,GREEN (Reliable),Moderate,0
D0093,Te-Rawalpindi-0093 Traders,Rawalpindi,SM003,False,782.0,GREEN (Reliable),Reliable,0
D0168,Ph-Karachi-0168 Traders,Karachi,SM006,False,789.0,GREEN (Reliable),Reliable,0
D0040,FM-Lahore-0040 Traders,Lahore,SM006,False,790.0,GREEN (Reliable),Reliable,0
D0185,Ph-Islamabad-0185 Traders,Islamabad,SM007,False,790.0,GREEN (Reliable),Reliable,0
D0182,Ph-Lahore-0182 Traders,Lahore,SM003,False,791.0,GREEN (Reliable),Reliable,0
D0054,FM-Islamabad-0054 Traders,Islamabad,SM005,False,794.0,GREEN (Reliable),Reliable,1
D0140,Te-Lahore-0140 Traders,Lahore,SM005,False,794.0,GREEN (Reliable),Reliable,1
D0021,Te-Rawalpindi-0021 Traders,Rawalpindi,SM005,False,795.0,GREEN (Reliable),Reliable,0
D0154,Ph-Gujranwala-0154 Traders,Gujranwala,SM007,False,798.0,GREEN (Reliable),Reliable,0
D0068,Ph-Rawalpindi-0068 Traders,Rawalpindi,SM003,False,798.0,GREEN (Reliable),Reliable,1
D0082,Te-Islamabad-0082 Traders,Islamabad,SM003,False,802.0,GREEN (Reliable),Reliable,0
D0087,Te-Faisalabad-0087 Traders,Faisalabad,SM007,False,802.0,GREEN (Reliable),Reliable,0
D0174,Te-InteriorSindh-0174 Traders,Interior Sindh,SM005,True,804.0,GREEN (Reliable),Reliable,0
D0127,FM-Rawalpindi-0127 Traders,Rawalpindi,SM007,False,805.0,GREEN (Reliable),Reliable,0
D0214,Ph-Karachi-0214 Traders,Karachi,SM002,False,807.0,GREEN (Reliable),Reliable,0
D0116,Ph-Faisalabad-0116 Traders,Faisalabad,SM008,False,807.0,GREEN (Reliable),Reliable,0
D0123,FM-Multan-0123 Traders,Multan,SM004,False,808.0,GREEN (Reliable),Reliable,0
D0072,Te-Lahore-0072 Traders,Lahore,SM006,False,809.0,GREEN (Reliable),Reliable,0
D0019,FM-Faisalabad-0019 Traders,Faisalabad,SM006,False,810.0,GREEN (Reliable),Reliable,0
D0002,Te-Lahore-0002 Traders,Lahore,SM007,False,813.0,GREEN (Reliable),Reliable,0
D0017,Ph-Lahore-0017 Traders,Lahore,SM005,False,813.0,GREEN (Reliable),Reliable,1
D0005,FM-Lahore-0005 Traders,Lahore,SM001,True,815.0,GREEN (Reliable),Reliable,0
D0171,Te-Islamabad-0171 Traders,Islamabad,SM007,False,815.0,GREEN (Reliable),Reliable,0
D0172,Te-Peshawar-0172 Traders,Peshawar,SM001,False,817.0,GREEN (Reliable),Reliable,0
D0161,Te-Lahore-0161 Traders,Lahore,SM002,False,817.0,GREEN (Reliable),Reliable,0
D0059,Te-Rawalpindi-0059 Traders,Rawalpindi,SM001,False,818.0,GREEN (Reliable),Reliable,0
D0032,FM-Islamabad-0032 Traders,Islamabad,SM001,False,821.0,GREEN (Reliable),Reliable,0
D0004,Ph-Rawalpindi-0004 Traders,Rawalpindi,SM003,False,822.0,GREEN (Reliable),Reliable,0
D0090,FM-Karachi-0090 Traders,Karachi,SM001,False,822.0,GREEN (Reliable),Reliable,1
D0148,FM-Gujranwala-0148 Traders,Gujranwala,SM005,False,822.0,GREEN (Reliable),Reliable,0
D0120,Ph-Gujranwala-0120 Traders,Gujranwala,SM008,False,824.0,GREEN (Reliable),Reliable,0
D0216,Ph-Rawalpindi-0216 Traders,Rawalpindi,SM002,False,825.0,GREEN (Reliable),Reliable,0
D0014,FM-Karachi-0014 Traders,Karachi,SM008,False,826.0,GREEN (Reliable),Reliable,0
D0084,FM-Lahore-0084 Traders,Lahore,SM003,False,826.0,GREEN (Reliable),Reliable,0
D0202,FM-Lahore-0202 Traders,Lahore,SM002,True,827.0,GREEN (Reliable),Reliable,0
D0079,FM-InteriorPunjab-0079 Traders,Interior Punjab,SM008,False,827.0,GREEN (Reliable),Reliable,1
D0044,Te-InteriorPunjab-0044 Traders,Interior Punjab,SM001,False,827.0,GREEN (Reliable),Reliable,1
D0147,Ph-Karachi-0147 Traders,Karachi,SM004,False,827.0,GREEN (Reliable),Reliable,0
D0110,FM-Islamabad-0110 Traders,Islamabad,SM004,False,830.0,GREEN (Reliable),Reliable,0
D0132,Te-Rawalpindi-0132 Traders,Rawalpindi,SM003,False,831.0,GREEN (Reliable),Reliable,0
D0150,FM-Lahore-0150 Traders,Lahore,SM001,False,831.0,GREEN (Reliable),Reliable,1
D0144,Ph-InteriorSindh-0144 Traders,Interior Sindh,SM005,False,833.0,GREEN (Reliable),Reliable,0
D0026,Ph-Lahore-0026 Traders,Lahore,SM008,False,833.0,GREEN (Reliable),Reliable,0
D0173,FM-Islamabad-0173 Traders,Islamabad,SM005,False,834.0,GREEN (Reliable),Reliable,0
D0085,Te-Faisalabad-0085 Traders,Faisalabad,SM002,False,835.0,GREEN (Reliable),Reliable,0
D0136,Ph-Karachi-0136 Traders,Karachi,SM005,False,836.0,GREEN (Reliable),Reliable,0
D0169,Te-Multan-0169 Traders,Multan,SM003,True,837.0,GREEN (Reliable),Reliable,1
D0042,FM-Multan-0042 Traders,Multan,SM002,True,837.0,GREEN (Reliable),Reliable,0
D0108,Ph-Lahore-0108 Traders,Lahore,SM007,False,838.0,GREEN (Reliable),Reliable,0
D0097,FM-Islamabad-0097 Traders,Islamabad,SM001,False,839.0,GREEN (Reliable),Reliable,0
D0135,Ph-Lahore-0135 Traders,Lahore,SM004,False,839.0,GREEN (Reliable),Reliable,0
D0076,Te-Karachi-0076 Traders,Karachi,SM007,True,840.0,GREEN (Reliable),Reliable,0
D0143,Te-Faisalabad-0143 Traders,Faisalabad,SM006,False,842.0,GREEN (Reliable),Reliable,0
D0101,Ph-InteriorPunjab-0101 Traders,Interior Punjab,SM002,False,843.0,GREEN (Reliable),Reliable,0
D0024,FM-Rawalpindi-0024 Traders,Rawalpindi,SM008,False,844.0,GREEN (Reliable),Reliable,0
D0018,Te-Gujranwala-0018 Traders,Gujranwala,SM006,False,846.0,GREEN (Reliable),Reliable,0
D0157,FM-Lahore-0157 Traders,Lahore,SM005,False,847.0,GREEN (Reliable),Reliable,0
D0158,FM-Karachi-0158 Traders,Karachi,SM007,False,848.0,GREEN (Reliable),Reliable,0
D0128,Ph-Lahore-0128 Traders,Lahore,SM002,False,848.0,GREEN (Reliable),Reliable,0
D0126,Te-Lahore-0126 Traders,Lahore,SM001,False,849.0,GREEN (Reliable),Reliable,0
D0063,FM-Karachi-0063 Traders,Karachi,SM004,False,849.0,GREEN (Reliable),Reliable,0
D0131,FM-Rawalpindi-0131 Traders,Rawalpindi,SM006,False,849.0,GREEN (Reliable),Reliable,0
D0006,Ph-InteriorSindh-0006 Traders,Interior Sindh,SM008,False,850.0,GREEN (Reliable),Reliable,0
D0096,FM-Lahore-0096 Traders,Lahore,SM001,False,850.0,GREEN (Reliable),Reliable,0
D0220,Ph-InteriorSindh-0220 Traders,Interior Sindh,SM005,False,851.0,GREEN (Reliable),Reliable,0
D0118,Ph-Karachi-0118 Traders,Karachi,SM002,False,852.0,GREEN (Reliable),Reliable,1
D0197,Ph-Lahore-0197 Traders,Lahore,SM001,False,852.0,GREEN (Reliable),Reliable,0
D0078,Ph-Rawalpindi-0078 Traders,Rawalpindi,SM007,False,853.0,GREEN (Reliable),Reliable,0
D0056,Ph-InteriorSindh-0056 Traders,Interior Sindh,SM006,False,853.0,GREEN (Reliable),Reliable,0
D0175,Ph-Faisalabad-0175 Traders,Faisalabad,SM001,False,853.0,GREEN (Reliable),Reliable,0
D0192,Te-Multan-0192 Traders,Multan,SM004,False,853.0,GREEN (Reliable),Reliable,0
D0089,FM-InteriorPunjab-0089 Traders,Interior Punjab,SM002,False,855.0,GREEN (Reliable),Reliable,0
D0111,Ph-Gujranwala-0111 Traders,Gujranwala,SM006,False,856.0,GREEN (Reliable),Reliable,0
D0105,FM-Peshawar-0105 Traders,Peshawar,SM004,False,857.0,GREEN (Reliable),Reliable,0
D0164,FM-InteriorSindh-0164 Traders,Interior Sindh,SM003,False,858.0,GREEN (Reliable),Reliable,0
D0029,Te-InteriorSindh-0029 Traders,Interior Sindh,SM001,False,859.0,GREEN (Reliable),Reliable,0
D0152,Ph-Islamabad-0152 Traders,Islamabad,SM004,False,861.0,GREEN (Reliable),Reliable,0
D0061,Te-Karachi-0061 Traders,Karachi,SM005,False,861.0,GREEN (Reliable),Reliable,1
D0129,FM-Lahore-0129 Traders,Lahore,SM005,False,862.0,GREEN (Reliable),Reliable,0
D0219,Ph-Karachi-0219 Traders,Karachi,SM003,False,862.0,GREEN (Reliable),Reliable,0
D0074,FM-Islamabad-0074 Traders,Islamabad,SM008,False,862.0,GREEN (Reliable),Reliable,0
D0186,Ph-InteriorSindh-0186 Traders,Interior Sindh,SM006,False,862.0,GREEN (Reliable),Reliable,0
D0142,FM-Rawalpindi-0142 Traders,Rawalpindi,SM008,False,862.0,GREEN (Reliable),Reliable,0
D0062,FM-Lahore-0062 Traders,Lahore,SM003,False,863.0,GREEN (Reliable),Reliable,0
D0191,Ph-InteriorSindh-0191 Traders,Interior Sindh,SM005,True,863.0,GREEN (Reliable),Reliable,0
D0180,Ph-Karachi-0180 Traders,Karachi,SM005,False,864.0,GREEN (Reliable),Reliable,0
D0134,FM-Peshawar-0134 Traders,Peshawar,SM008,False,864.0,GREEN (Reliable),Reliable,0
D0081,Ph-Peshawar-0081 Traders,Peshawar,SM003,True,864.0,GREEN (Reliable),Reliable,0
D0112,FM-Karachi-0112 Traders,Karachi,SM003,False,864.0,GREEN (Reliable),Reliable,0
D0209,FM-InteriorSindh-0209 Traders,Interior Sindh,SM005,False,865.0,GREEN (Reliable),Reliable,0
D0218,Ph-Karachi-0218 Traders,Karachi,SM007,False,866.0,GREEN (Reliable),Reliable,0
D0092,FM-Faisalabad-0092 Traders,Faisalabad,SM008,False,866.0,GREEN (Reliable),Reliable,0
D0022,Ph-Lahore-0022 Traders,Lahore,SM004,False,866.0,GREEN (Reliable),Reliable,0
D0149,Te-Lahore-0149 Traders,Lahore,SM005,True,867.0,GREEN (Reliable),Reliable,0
D0067,FM-Lahore-0067 Traders,Lahore,SM006,False,867.0,GREEN (Reliable),Reliable,0
D0094,Ph-Islamabad-0094 Traders,Islamabad,SM005,False,868.0,GREEN (Reliable),Reliable,1
D0047,Ph-Faisalabad-0047 Traders,Faisalabad,SM005,False,869.0,GREEN (Reliable),Reliable,1
D0036,Te-Multan-0036 Traders,Multan,SM005,False,869.0,GREEN (Reliable),Reliable,0
D0045,Ph-Lahore-0045 Traders,Lahore,SM008,False,869.0,GREEN (Reliable),Reliable,0
D0163,FM-Gujranwala-0163 Traders,Gujranwala,SM006,False,870.0,GREEN (Reliable),Reliable,0
D0189,Ph-Lahore-0189 Traders,Lahore,SM005,False,872.0,GREEN (Reliable),Reliable,1
D0205,Ph-Lahore-0205 Traders,Lahore,SM007,True,872.0,GREEN (Reliable),Reliable,0
D0153,Te-Islamabad-0153 Traders,Islamabad,SM008,False,872.0,GREEN (Reliable),Reliable,0
D0023,FM-Lahore-0023 Traders,Lahore,SM006,False,872.0,GREEN (Reliable),Reliable,0
D0041,Te-Karachi-0041 Traders,Karachi,SM003,False,872.0,GREEN (Reliable),Reliable,1
D0075,Te-InteriorPunjab-0075 Traders,Interior Punjab,SM004,False,873.0,GREEN (Reliable),Reliable,0
D0162,FM-Islamabad-0162 Traders,Islamabad,SM008,False,874.0,GREEN (Reliable),Reliable,0
D0008,FM-Karachi-0008 Traders,Karachi,SM003,False,877.0,GREEN (Reliable),Reliable,0
D0213,Te-Faisalabad-0213 Traders,Faisalabad,SM008,False,878.0,GREEN (Reliable),Reliable,0
D0102,Te-Karachi-0102 Traders,Karachi,SM006,False,878.0,GREEN (Reliable),Reliable,0
D0211,Ph-Faisalabad-0211 Traders,Faisalabad,SM008,False,878.0,GREEN (Reliable),Reliable,0
D0188,Ph-Peshawar-0188 Traders,Peshawar,SM001,False,879.0,GREEN (Reliable),Reliable,1
D0050,FM-Peshawar-0050 Traders,Peshawar,SM006,True,879.0,GREEN (Reliable),Reliable,0
D0187,Te-InteriorSindh-0187 Traders,Interior Sindh,SM007,False,879.0,GREEN (Reliable),Reliable,1
D0138,Te-Faisalabad-0138 Traders,Faisalabad,SM003,False,880.0,GREEN (Reliable),Reliable,0
D0091,Te-Karachi-0091 Traders,Karachi,SM004,False,880.0,GREEN (Reliable),Reliable,0
D0194,FM-Gujranwala-0194 Traders,Gujranwala,SM005,True,880.0,GREEN (Reliable),Reliable,0
D0217,Te-Karachi-0217 Traders,Karachi,SM008,False,881.0,GREEN (Reliable),Reliable,0
D0001,FM-Islamabad-0001 Traders,Islamabad,SM001,False,881.0,GREEN (Reliable),Reliable,0
D0033,FM-InteriorPunjab-0033 Traders,Interior Punjab,SM003,True,881.0,GREEN (Reliable),Reliable,0
D0013,Te-Faisalabad-0013 Traders,Faisalabad,SM007,False,882.0,GREEN (Reliable),Reliable,0
D0210,FM-Karachi-0210 Traders,Karachi,SM004,False,882.0,GREEN (Reliable),Reliable,0
D0200,Ph-InteriorPunjab-0200 Traders,Interior Punjab,SM008,False,884.0,GREEN (Reliable),Reliable,0
D0141,Te-Karachi-0141 Traders,Karachi,SM008,False,884.0,GREEN (Reliable),Reliable,0
D0009,Te-InteriorPunjab-0009 Traders,Interior Punjab,SM002,True,885.0,GREEN (Reliable),Reliable,0
D0133,Te-Gujranwala-0133 Traders,Gujranwala,SM007,False,885.0,GREEN (Reliable),Reliable,0
D0048,Ph-Karachi-0048 Traders,Karachi,SM008,False,887.0,GREEN (Reliable),Reliable,0
D0178,FM-Karachi-0178 Traders,Karachi,SM006,False,887.0,GREEN (Reliable),Reliable,0
D0196,Ph-Karachi-0196 Traders,Karachi,SM003,False,888.0,GREEN (Reliable),Reliable,0
D0117,Ph-Faisalabad-0117 Traders,Faisalabad,SM004,False,888.0,GREEN (Reliable),Reliable,0
D0115,Te-Karachi-0115 Traders,Karachi,SM008,False,890.0,GREEN (Reliable),Reliable,0
D0124,Te-Karachi-0124 Traders,Karachi,SM007,False,893.0,GREEN (Reliable),Reliable,0
D0159,FM-Faisalabad-0159 Traders,Faisalabad,SM005,False,894.0,GREEN (Reliable),Reliable,0
D0201,FM-InteriorSindh-0201 Traders,Interior Sindh,SM005,False,894.0,GREEN (Reliable),Reliable,0
