domain,schema,table,table_purpose,column,data_type,nullable,default,primary_key,unique,references,introduced_by
Audit,audit,data_change_events,Stores data change events records for the academic operations model.,before_data,jsonb,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,data_change_events,Stores data change events records for the academic operations model.,after_data,jsonb,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,data_change_events,Stores data change events records for the academic operations model.,occurred_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,dashboard_refresh_runs,Stores dashboard refresh runs records for the academic operations model.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,dashboard_refresh_runs,Stores dashboard refresh runs records for the academic operations model.,institution_id,uuid,false,,false,false,public.institutions(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,dashboard_refresh_runs,Stores dashboard refresh runs records for the academic operations model.,campus_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,dashboard_refresh_runs,Stores dashboard refresh runs records for the academic operations model.,correlation_id,uuid,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,dashboard_refresh_runs,Stores dashboard refresh runs records for the academic operations model.,job_status,ops.job_status,false,'pending',false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,dashboard_refresh_runs,Stores dashboard refresh runs records for the academic operations model.,snapshot,jsonb,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,dashboard_refresh_runs,Stores dashboard refresh runs records for the academic operations model.,requested_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,dashboard_refresh_runs,Stores dashboard refresh runs records for the academic operations model.,completed_at,timestamptz,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,dashboard_refresh_runs,Stores dashboard refresh runs records for the academic operations model.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,dashboard_refresh_runs,Stores dashboard refresh runs records for the academic operations model.,updated_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,generated_report_files,Stores generated report files records for the academic operations model.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,generated_report_files,Stores generated report files records for the academic operations model.,institution_id,uuid,false,,false,false,public.institutions(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,generated_report_files,Stores generated report files records for the academic operations model.,hec_report_run_id,uuid,true,,false,false,ops.hec_report_runs(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,generated_report_files,Stores generated report files records for the academic operations model.,report_type,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,generated_report_files,Stores generated report files records for the academic operations model.,file_format,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,generated_report_files,Stores generated report files records for the academic operations model.,storage_provider,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,generated_report_files,Stores generated report files records for the academic operations model.,storage_object_id,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,generated_report_files,Stores generated report files records for the academic operations model.,file_url,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,generated_report_files,Stores generated report files records for the academic operations model.,checksum_sha256,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,generated_report_files,Stores generated report files records for the academic operations model.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,institution_id,uuid,false,,false,false,public.institutions(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,campus_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,academic_year_id,uuid,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,term_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,program_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,requested_by,uuid,true,,false,false,auth.users(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,correlation_id,uuid,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,idempotency_key,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,filters,jsonb,false,CAST('{}' AS jsonb),false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,job_status,ops.job_status,false,'pending',false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,template_label,text,false,'Demonstration HEC Enrollment Format',false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,requested_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,completed_at,timestamptz,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,error_code,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,sanitized_error_message,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,hec_report_runs,Stores hec report runs records for the academic operations model.,updated_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,institution_id,uuid,false,,false,false,public.institutions(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,operation,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,idempotency_key,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,request_hash,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,correlation_id,uuid,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,state,text,false,'processing',false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,result_payload,jsonb,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,error_payload,jsonb,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,locked_until,timestamptz,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,idempotency_records,Database-enforced request replay protection.,updated_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incident_events,Stores incident events records for the academic operations model.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incident_events,Stores incident events records for the academic operations model.,incident_id,uuid,false,,false,false,ops.incidents(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incident_events,Stores incident events records for the academic operations model.,event_type,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incident_events,Stores incident events records for the academic operations model.,correlation_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incident_events,Stores incident events records for the academic operations model.,n8n_execution_id,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incident_events,Stores incident events records for the academic operations model.,retry_number,integer,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incident_events,Stores incident events records for the academic operations model.,retryable,boolean,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incident_events,Stores incident events records for the academic operations model.,sanitized_details,jsonb,false,CAST('{}' AS jsonb),false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incident_events,Stores incident events records for the academic operations model.,occurred_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incident_events,Stores incident events records for the academic operations model.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,institution_id,uuid,true,,false,false,public.institutions(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,campus_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,fingerprint,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,root_correlation_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,workflow_code,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,operation,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,severity,ops.incident_severity,false,'error',false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,incident_status,ops.incident_status,false,'open',false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,title,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,summary,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,first_seen_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,last_seen_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,occurrence_count,integer,false,1,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,acknowledged_by,uuid,true,,false,false,auth.users(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,acknowledged_at,timestamptz,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,resolved_by,uuid,true,,false,false,auth.users(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,resolved_at,timestamptz,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,incidents,Deduplicated operational incidents.,updated_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,maintenance_runs,Stores maintenance runs records for the academic operations model.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,maintenance_runs,Stores maintenance runs records for the academic operations model.,operation,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,maintenance_runs,Stores maintenance runs records for the academic operations model.,correlation_id,uuid,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,maintenance_runs,Stores maintenance runs records for the academic operations model.,job_status,ops.job_status,false,'running',false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,maintenance_runs,Stores maintenance runs records for the academic operations model.,metrics,jsonb,false,CAST('{}' AS jsonb),false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,maintenance_runs,Stores maintenance runs records for the academic operations model.,started_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,maintenance_runs,Stores maintenance runs records for the academic operations model.,completed_at,timestamptz,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,maintenance_runs,Stores maintenance runs records for the academic operations model.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,institution_id,uuid,false,,false,false,public.institutions(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,outbox_id,uuid,false,,false,false,ops.notification_outbox(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,attempt_number,integer,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,delivery_status,ops.delivery_status,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,provider,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,provider_message_id,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,error_code,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,sanitized_error_message,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,retryable,boolean,false,FALSE,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,started_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,finished_at,timestamptz,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_deliveries,Stores notification deliveries records for the academic operations model.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,institution_id,uuid,false,,false,false,public.institutions(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,campus_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,channel,ops.notification_channel,false,'email',false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,notification_type,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,recipient_address,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,recipient_name,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,subject,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,template_code,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,payload,jsonb,false,CAST('{}' AS jsonb),false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,correlation_id,uuid,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,idempotency_key,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,job_status,ops.job_status,false,'pending',false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,priority,integer,false,100,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,available_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,claimed_at,timestamptz,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,claimed_by,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,attempt_count,integer,false,0,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,max_attempts,integer,false,3,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,last_error_code,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,last_error_message,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,completed_at,timestamptz,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,notification_outbox,Transactional notification work queue.,updated_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,institution_id,uuid,true,,false,false,public.institutions(id),20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,campus_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,workflow_code,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,n8n_execution_id,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,operation,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,correlation_id,uuid,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,idempotency_key,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,run_status,ops.workflow_run_status,false,'started',false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,started_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,finished_at,timestamptz,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,input_summary,jsonb,false,CAST('{}' AS jsonb),false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,output_summary,jsonb,false,CAST('{}' AS jsonb),false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,error_code,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,sanitized_error_message,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Operations,ops,workflow_runs,Durable n8n workflow execution records.,updated_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,id,uuid,false,gen_random_uuid(),true,false,,20260717000500_phase2_marks_results.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,institution_id,uuid,false,,false,false,,20260717000500_phase2_marks_results.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,student_id,uuid,false,,false,false,,20260717000500_phase2_marks_results.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,program_registration_id,uuid,false,,false,false,,20260717000500_phase2_marks_results.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,term_id,uuid,false,,false,false,,20260717000500_phase2_marks_results.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,semester_result_id,uuid,false,,false,false,,20260717000500_phase2_marks_results.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,standing_code,text,false,,false,false,,20260717000500_phase2_marks_results.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,at_risk,boolean,false,,false,false,,20260717000500_phase2_marks_results.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,grading_policy_id,uuid,false,,false,false,,20260717000500_phase2_marks_results.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,effective_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000500_phase2_marks_results.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,correlation_id,uuid,false,,false,false,,20260717000500_phase2_marks_results.sql
Marks & results,public,academic_standing_history,Stores academic standing history records for the academic operations model.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000500_phase2_marks_results.sql
